,Ticker,Year,MarketCap,TrailingPE,PriceToBook,PriceToSales,ReturnOnEquity,ReturnOnAssets,DebtToEquity,CurrentRatio,ProfitMargin,EpsGrowth5Y,RevenueGrowth,EpsGrowthYoY,Unnamed: 0
1,ACDC,2023,1254193727.7793884,-12.8371927101268,1.0354968029882663,0.4768797444028093,-0.0806638044914134,-0.031816849578272,1.53525429326288,,-0.037148288973384,,0.2004199187548496,0.5457926545792655,
2,ACDC,2022,3644049500.0,39.82567759562841,-3.076705082742317,1.5023291144459103,-0.0772543059777102,0.0311903463321516,-3.4768659236744344,,0.0377226253298153,,-0.0777186311787072,1.9365404298874105,
3,ACDC,2021,,,,,,,3.5180149558123723,,,,-0.6832124010554089,-1.0,
0,ACEL,2024,889580040.3328552,25.23488143460953,3.4881524859245623,0.7226647237572059,0.1382274172741139,0.0336246349191814,3.1108971920840376,,0.0286375319666085,0.932,,,
1,ACEL,2023,832023933.2223816,18.24493856155037,4.193584470183976,0.7108763804637495,0.2298491965887784,0.0499543758140329,3.601182435837987,,0.0389629363818116,0.932,-0.0491903958822783,0.2936287302848065,
2,ACEL,2022,720297448.3328552,9.72035098017402,4.033246253053672,0.7427301263386619,0.4149280474830618,0.0858885750415232,3.831003975586539,,0.0764098053510167,0.932,-0.1714111173766682,0.624936955902024,
3,ACEL,2021,1079176524.0,34.19552343230141,6.8103604293801,1.4688529223214153,0.19915941461937,0.0512260722349461,2.8878525315377286,,0.0429545383397735,0.932,-0.2424115562329023,-0.5741140589997571,
0,ACGL,2024,34724800413.67383,8.053061320425284,1.737108574971177,2.0510809458755954,0.2157078539269634,0.0608129072292894,2.547073536768384,,0.254695806261075,-0.493,,,
1,ACGL,2023,27136357459.284668,6.10766541960042,1.54861367684099,2.0412484924992227,0.2535524738914569,0.0754252537941805,2.361638988757633,,0.3342109222205506,-0.493,-0.2147666863555818,0.0303803339517625,
2,ACGL,2022,22332703152.50464,15.130557691398806,1.8487337046775365,2.312592228694692,0.1221854304635761,0.0307564075849135,2.972682119205298,,0.1528424976700838,-0.493,-0.2735820670979389,-0.6677920324105334,
3,ACGL,2021,16060873365.01172,7.445931091799592,1.2630547910278378,1.7997392833944104,0.1696302014423521,0.0478260488776898,2.5468161268384075,,0.2417077543702375,-0.493,-0.0759034896965931,0.4613821138211382,
0,ACIC,2024,595713873.2437134,7.867533126122103,2.5278531496380947,2.0080897239698148,0.3213018755834677,0.0622623574144486,4.160451497920733,,0.2552375302116585,,,,
1,ACIC,2023,469296673.53401184,1.5142949864122663,2.7807701450775446,1.774949597329848,1.8363463988386215,0.2917144368576909,5.295013776553195,,1.1721293494704992,,-0.1087350037248404,3.0929633640613856,
2,ACIC,2022,49350642.53103733,-0.1050337711230854,-0.271099283840481,0.2226281167802904,2.581067793165201,-0.1655878986261126,-16.58729722751718,,-2.1195860569397267,,-0.1615998487140696,-2.5160965567533906,
3,ACIC,2021,199821886.3723755,-3.4500230731258394,0.6396224348199954,0.8737865901671534,-0.18539656728744,-0.0214628249819441,7.638031920001536,,-0.2532697815772788,,0.031632178930226,0.8767300550169733,
0,ACI,2024,11282909440.785645,8.705948642581516,4.106609441596231,0.1423931971875211,0.4717015468607825,0.0494258440721403,8.543621474067335,,0.0163558508134385,-0.322,,,
1,ACI,2023,12800065772.524658,8.457261825255804,7.9468962392280735,0.164843724734605,0.9396535667722108,0.0578373751347054,15.246476687154653,,0.0194913824522181,-0.322,-0.0200409653485651,0.167824074074074,
2,ACI,2022,11334703968.802002,6.99845885947271,3.7475051143298295,0.1576739044445032,0.5354757653904648,0.0575898730576396,8.298089003504595,,0.0225298037197267,-0.322,-0.0742140665063741,0.0701024116286752,
3,ACI,2021,12466259291.423584,,,,,,,,,-0.322,,,
0,ACIW,2024,5467387887.954712,26.91729875222635,3.838576315659755,3.4293602460500936,0.1426062975707123,0.0671399431393917,1.124015763234145,,0.1274035807833967,,,,
1,ACIW,2023,3122873048.019409,25.70075507180052,2.35813646638134,2.149881726239612,0.0917535869974786,0.035273789973638,1.6011831182884202,,0.0836505277854078,,-0.0888854460423712,-0.4017812306147165,
2,ACIW,2022,2800830080.0323486,19.699600357528634,2.347352158573927,1.9697785429733492,0.1191573491833216,0.0442933491593961,1.690186031192093,,0.0999907869816534,,-0.0211196774839784,0.1700943962998625,
3,ACIW,2021,3572894144.0582275,27.95888712083189,2.8703086127541138,2.6068140651439937,0.1026617619059478,0.0404563083836249,1.5375958906695737,,0.0932374044030416,,-0.036080571010218,-0.1011837357659818,
0,ACM,2024,14159320926.582336,35.198900544869154,6.48259706693389,0.8791607019281451,0.1841704418770216,0.0333507742585209,4.522223875506191,,0.0249769364474169,335.429,,,
1,ACM,2023,11545906816.497805,208.66599465947016,5.218885238064542,0.8030001831557496,0.025010712677844,0.0049256689738937,4.077627589349158,,0.0038482560824833,335.429,-0.1072327598935469,-0.8624492251395842,
2,ACM,2022,10630138860.25238,34.22331746220314,4.2921372384888565,0.8084873528714753,0.1254155808603058,0.0278842101152539,3.4977275792258427,,0.0236238743881093,335.429,-0.0855640252458173,4.613587074387334,
3,ACM,2021,9566409427.207949,55.2380946803011,3.5268258919759283,0.7170763476881347,0.0638477107580913,0.0147593044936088,3.32592950336778,,0.0129815547013039,335.429,0.0146537369196745,-0.4424376470891243,
0,ACNB,2024,392746330.0582886,12.332673807017793,1.295025703106734,3.625094193872021,0.1050076993336037,0.0132978123708154,6.896614601365767,,0.2939422748543949,,,,
1,ACNB,2023,437830457.6892853,13.816916741015062,1.5779891865497684,4.113865314478194,0.1142070417103665,0.0131004565398307,7.717790968820843,,0.2977411959258841,,-0.0176572119511542,-0.0049613766250078,
2,ACNB,2022,360770029.347229,10.090904826225918,1.472278341456685,3.442100822883371,0.1459015189232866,0.0141563654347424,9.306425021016803,,0.34110923471773,,-0.0151933701657458,0.1282504418076243,
3,ACNB,2021,313466597.1467972,11.262003202802228,1.1519679147224955,3.334041662909989,0.1022880116421793,0.0099871294699257,9.241983139419508,,0.2960433950223357,,-0.1029567507227294,-0.2214701275453121,
0,ACN,2024,221900209699.45312,30.544627075708224,7.844143890784067,3.41929584483144,0.2568092866657527,0.1298852151124028,0.9772018427463796,,0.1119442655612176,0.072,,,
